key,requests,complied,duration
USA,13,9,jul12jun13
United Kingdom,3,0,jul12jun13
France,2,0,jul12jun13
Spain,4,1,jul12jun13
Canada,1,0,jul12jun13
Australia,2,1,jul12jun13
India,2,1,jul12jun13
Netherlands,1,0,jul12jun13
New Zealand,1,0,jul12jun13
Pakistan,2,2,jul12jun13
Unknown,1,0,jul12jun13
Australia,1,1,juldec13
Bangladesh,1,0,juldec13
Germany,2,1,juldec13
South Korea,1,0,juldec13
United Kingdom,1,0,juldec13
USA,10,4,juldec13
Brazil,1,0,janjun14
USA,8,4,janjun14
Unknown,1,0,janjun14
USA,10,1,juldec14
Netherlands,1,0,juldec14
