key,requests,complied,duration,tooltip
Turkey,1,0,janjun15,
Serbia,1,0,janjun15,
Poland,1,0,janjun15,
Sri Lanka,1,0,janjun15,
China,1,0,janjun15,
Belgium,1,0,janjun15,
Sweden,1,0,janjun15,
Slovenia,1,0,janjun15,
Norway,1,0,janjun15,
Latvia,1,0,janjun15,
Pakistan,1,0,janjun15,
Romania,1,0,janjun15,
Denmark,1,0,janjun15,
Suriname,1,0,janjun15,
Taiwan,1,0,janjun15,
Peru,1,0,janjun15,
USA,84,0,juldec15,
France,18,0,juldec15,
Germany,18,0,juldec15,
United Kingdom,14,0,juldec15,
South Korea,7,0,juldec15,
India,6,0,juldec15,
Russia,6,0,juldec15,
Japan,5,0,juldec15,
Italy,4,0,juldec15,
Canada,3,0,juldec15,
Poland,3,0,juldec15,
Austria,2,0,juldec15,
Czech Republic,2,0,juldec15,
Indonesia,2,0,juldec15,
Norway,2,0,juldec15,
Sweden,2,0,juldec15,
Argentina,1,0,juldec15,
Brazil,1,0,juldec15,
Belgium,1,0,juldec15,
Bulgaria,1,0,juldec15,
China,1,0,juldec15,
Israel,1,0,juldec15,
Liechtenstein,1,0,juldec15,
Netherlands,1,0,juldec15,
New Zealand,1,0,juldec15,
Philippines,1,0,juldec15,
Saudi Arabia,1,0,juldec15,
Serbia,1,0,juldec15,
South Africa,1,0,juldec15,
Switzerland,1,0,juldec15,
Tanzania,1,0,juldec15,
Turkey,1,0,juldec15,
Unknown,26,0,juldec15,
USA,71,0,janjun16,
Germany,22,0,janjun16,
France,18,0,janjun16,
United Kingdom,15,0,janjun16,
India,9,0,janjun16,
Italy,8,0,janjun16,
Russia,6,0,janjun16,
Austria,5,0,janjun16,
Canada,4,0,janjun16,
Hungary,3,0,janjun16,
Japan,3,0,janjun16,
Turkey,3,0,janjun16,
Brazil,2,0,janjun16,
Greece,2,0,janjun16,
Netherlands,2,0,janjun16,
Portugal,2,0,janjun16,
Spain,2,0,janjun16,
Switzerland,2,0,janjun16,
Venezuela,2,0,janjun16,
Australia,1,0,janjun16,
Bulgaria,1,0,janjun16,
China,1,0,janjun16,
Croatia,1,0,janjun16,
Czech Republic,1,0,janjun16,
Dominican Republic,1,0,janjun16,
Ecuador,1,0,janjun16,
Egypt,1,0,janjun16,
Estonia,1,0,janjun16,
Finland,1,0,janjun16,
Georgia,1,0,janjun16,
Malta,1,0,janjun16,
Mexico,1,0,janjun16,
Morocco,1,0,janjun16,
New Zealand,1,0,janjun16,
Norway,1,0,janjun16,
Pakistan,1,0,janjun16,
Poland,1,0,janjun16,
Romania,1,0,janjun16,
Slovenia,1,0,janjun16,
South Korea,1,0,janjun16,
Sweden,1,0,janjun16,
Taiwan,1,0,janjun16,
Unknown,39,0,janjun16,
USA,61,0,juldec16,
Germany,23,0,juldec16,
France,16,0,juldec16,
United Kingdom,14,0,juldec16,
Unknown,7,0,juldec16,
Brazil,6,0,juldec16,
India,6,0,juldec16,
Italy,6,0,juldec16,
Russia,5,0,juldec16,
Australia,4,0,juldec16,
Canada,4,0,juldec16,
Japan,4,0,juldec16,
Spain,4,0,juldec16,
Israel,3,0,juldec16,
Netherlands,3,0,juldec16,
Sri Lanka,3,0,juldec16,
Korea,2,0,juldec16,
Malaysia,2,0,juldec16,
Afghanistan,1,0,juldec16,
Argentina,1,0,juldec16,
Austria,1,0,juldec16,
Denmark,1,0,juldec16,
Egypt,1,0,juldec16,
Guatemala,1,0,juldec16,
Hungary,1,0,juldec16,
New Zealand,1,0,juldec16,
Norway,1,0,juldec16,
Pakistan,1,0,juldec16,
Poland,1,0,juldec16,
Saudi Arabia,1,0,juldec16,
Sweden,1,0,juldec16,
Turkey,1,0,juldec16,
USA,73,0,janjun17,
France,34,0,janjun17,
Germany,34,0,janjun17,
United Kingdom,25,0,janjun17,
Russia,15,0,janjun17,
India,14,0,janjun17,
Canada,9,0,janjun17,
Spain,9,0,janjun17,
Japan,7,0,janjun17,
Turkey,7,0,janjun17,
Italy,6,0,janjun17,
Netherlands,5,0,janjun17,
Argentina,4,0,janjun17,
Australia,4,0,janjun17,
Brazil,4,0,janjun17,
Norway,4,0,janjun17,
Korea,3,0,janjun17,
China,2,0,janjun17,
Czech Republic,2,0,janjun17,
Hungary,2,0,janjun17,
Macedonia,2,0,janjun17,
Mexico,2,0,janjun17,
Azerbaijan,1,0,janjun17,
Bangladesh,1,0,janjun17,
Colombia,1,0,janjun17,
Costa Rica,1,0,janjun17,
Croatia,1,0,janjun17,
Denmark,1,0,janjun17,
Egypt,1,0,janjun17,
Honduras,1,0,janjun17,
Lebanon,1,0,janjun17,
Lithuania,1,0,janjun17,
New Zealand,1,0,janjun17,
Nigeria,1,0,janjun17,
Serbia,1,0,janjun17,
South Africa,1,0,janjun17,
Sri Lanka,1,0,janjun17,
Switzerland,1,0,janjun17,
Taiwan,1,0,janjun17,
Thailand,1,0,janjun17,
Ukraine,1,0,janjun17,
Uruguay,1,0,janjun17,
Unknown,54,0,janjun17,
USA,78,0,juldec17,
Germany,33,0,juldec17,
United Kingdom,25,0,juldec17,
India,21,0,juldec17,
Italy,14,0,juldec17,
France,13,0,juldec17,
Japan,9,0,juldec17,
Canada,8,0,juldec17,
Russia,8,0,juldec17,
Australia,6,0,juldec17,
Netherlands,5,0,juldec17,
Spain,5,0,juldec17,
Switzerland,5,0,juldec17,
Brazil,3,0,juldec17,
Norway,3,0,juldec17,
Poland,3,0,juldec17,
Austria,2,0,juldec17,
Belgium,2,0,juldec17,
Colombia,2,0,juldec17,
Czech Republic,2,0,juldec17,
Hong Kong,2,0,juldec17,
Serbia,2,0,juldec17,
Ukraine,2,0,juldec17,
Argentina,1,0,juldec17,
Bosnia and Herzegovina,1,0,juldec17,
Chile,1,0,juldec17,
China,1,0,juldec17,
Denmark,1,0,juldec17,
Ireland,1,0,juldec17,
Israel,1,0,juldec17,
Kosovo,1,0,juldec17,
Libya,1,0,juldec17,
Malaysia,1,0,juldec17,
New Zealand,1,0,juldec17,
Pakistan,1,0,juldec17,
Papua New Guinea,1,0,juldec17,
Philippines,1,0,juldec17,
Korea,1,0,juldec17,
Saudi Arabia,1,0,juldec17,
Singapore,1,0,juldec17,
South Africa,1,0,juldec17,
Sweden,1,0,juldec17,
Taiwan,1,0,juldec17,
Thailand,1,0,juldec17,
Turkey,1,0,juldec17,
Uganda,1,0,juldec17,
Uruguay,1,0,juldec17,
Uzbekistan,1,0,juldec17,
Unknown,65,0,juldec17,
USA,89,0,janjun18,
Germany,43,0,janjun18,
France,22,0,janjun18,
United Kingdom,16,0,janjun18,
Italy,15,0,janjun18,
Australia,9,0,janjun18,
Poland,9,0,janjun18,
Canada,8,0,janjun18,
Netherlands,8,0,janjun18,
India,7,0,janjun18,
Russia,7,0,janjun18,
Spain,6,0,janjun18,
Belgium,4,0,janjun18,
Brazil,4,0,janjun18,
Romania,4,0,janjun18,
Japan,3,0,janjun18,
Ukraine,3,0,janjun18,
Austria,2,0,janjun18,
Bulgaria,2,0,janjun18,
Czech Republic,2,0,janjun18,
Denmark,2,0,janjun18,
Iran,2,0,janjun18,
Saudi Arabia,2,0,janjun18,
Sweden,2,0,janjun18,
Turkey,2,0,janjun18,
United Arab Emirates,2,0,janjun18,
Uruguay,2,0,janjun18,
Argentina,1,0,janjun18,
Azerbaijan,1,0,janjun18,
Chile,1,0,janjun18,
China,1,0,janjun18,
Colombia,1,0,janjun18,
Finland,1,0,janjun18,
Guyana,1,0,janjun18,
Hungary,1,0,janjun18,
Indonesia,1,0,janjun18,
Israel,1,0,janjun18,
Jordan,1,0,janjun18,
Kazakhstan,1,0,janjun18,
Korea,1,0,janjun18,
Kuwait,1,0,janjun18,
Malaysia,1,0,janjun18,
Mexico,1,0,janjun18,
Nepal,1,0,janjun18,
New Zealand,1,0,janjun18,
Norway,1,0,janjun18,
Pakistan,1,0,janjun18,
Singapore,1,0,janjun18,
South Africa,1,0,janjun18,
Switzerland,1,0,janjun18,
Unknown,88,0,janjun18,
